"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"KLT5541","NY","PAS","9040674280","03/16/2023","09:43A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","025","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PUkVrMFRVRTlQUT09&locationName=_____________________)"
"KEX2229","NY","PAS","9040674218","03/16/2023","08:32A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","025","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PUkVsNFQwRTlQUT09&locationName=_____________________)"
"15434PF","NY","APP","8912160333","04/15/2022","07:16A","DOUBLE PARKING",,"115","10","0","0","125","0","009","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpOUkUxNlRYYzlQUT09&locationName=_____________________)"
"KMU5601","NY","PAS","5127510546","05/14/2023","04:02P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOUkZVd1RtYzlQUT09&locationName=_____________________)"
"52756MM","NY","COM","8912160783","04/20/2022","07:51A","NO STOPPING-DAY/TIME LIMITS","10/20/2022","115","60","3.62","53.62","125","0","006","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpOUkdNMFRYYzlQUT09&locationName=_____________________)"
"HMA6828","NY","PAS","9040674334","03/16/2023","09:57A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","023","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PUkUxNlRrRTlQUT09&locationName=_____________________)"
"39262PC","NY","APP","8912160631","04/19/2022","09:01A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","005","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpOUkZsNlRWRTlQUT09&locationName=_____________________)"
"AZ19391","CT","PAS","5127510534","05/14/2023","04:02P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOUkZWNlRrRTlQUT09&locationName=_____________________)"
"KYP3030","NY","PAS","9068987641","08/02/2023","06:26A","SAFETY ZONE",,"115","10","0","0","125","0","101","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJPZWxrd1RWRTlQUT09&locationName=_____________________)"
"KJW2144","NY","PAS","9040674681","03/17/2023","09:46A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","032","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PUkZrMFRWRTlQUT09&locationName=_____________________)"
